player,period,decision,payoff
A,14,True,8
A,15,False,9
C,1,True,8
C,2,True,8
C,3,True,8
C,4,True,8
C,5,False,1
C,6,False,9
C,7,True,8
C,8,False,9
C,9,False,9
C,10,False,9
C,11,False,9
C,12,False,9
C,13,True,8
C,14,False,1
C,15,False,9
B,1,False,8
B,2,False,8
B,3,False,8
B,4,False,8
B,5,False,1
B,6,False,9
B,7,False,8
B,8,False,9
B,9,False,9
B,10,False,9
B,11,False,9
B,12,False,9
B,13,False,8
B,14,False,1
B,15,False,9
D,1,False,1
D,2,False,8
D,3,False,8
D,4,False,8
D,5,False,8
D,6,False,9
D,7,False,8
D,8,False,9
D,9,False,9
D,10,False,9
D,11,False,9
D,12,False,9
D,13,False,1
D,14,False,8
D,15,False,9
A,1,False,9
A,2,False,9
A,3,True,8
A,4,False,9
A,5,False,9
A,6,True,8
A,7,False,9
A,8,True,8
A,9,False,9
A,10,False,1
A,11,False,9
A,12,True,8
A,13,False,1
A,14,False,9
A,15,True,8
C,1,False,9
C,2,False,9
C,3,True,8
C,4,False,9
C,5,False,9
C,6,False,1
C,7,False,9
C,8,True,8
C,9,False,9
C,10,True,8
C,11,False,9
C,12,False,1
C,13,True,8
C,14,False,9
C,15,True,8
B,1,False,9
B,2,False,9
B,3,False,8
B,4,False,9
B,5,False,9
B,6,False,1
B,7,False,9
B,8,False,8
B,9,False,9
B,10,False,8
B,11,False,9
B,12,False,1
B,13,False,8
B,14,False,9
B,15,False,8
D,1,False,9
D,2,False,9
D,3,False,8
D,4,False,9
D,5,False,9
D,6,False,8
D,7,False,9
D,8,False,8
D,9,False,9
D,10,False,1
D,11,False,9
D,12,False,8
D,13,False,1
D,14,False,9
D,15,False,8
A,1,True,8
A,2,False,9
A,3,False,9
A,4,False,9
A,5,True,8
A,6,True,8
A,7,False,9
A,8,False,9
A,9,False,9
A,10,False,9
A,11,False,9
A,12,False,1
A,13,True,8
A,14,False,9
A,15,False,9
C,1,False,1
C,2,False,9
C,3,False,9
C,4,False,9
C,5,True,8
C,6,False,1
C,7,False,9
C,8,False,9
C,9,False,9
C,10,False,9
C,11,False,9
C,12,True,8
C,13,True,8
C,14,False,9
C,15,False,9
B,1,False,1
B,2,False,9
B,3,False,9
B,4,False,9
B,5,False,8
B,6,False,1
B,7,False,9
B,8,False,9
B,9,False,9
B,10,False,9
B,11,False,9
B,12,False,8
B,13,False,8
B,14,False,9
B,15,False,9
D,1,False,8
D,2,False,9
D,3,False,9
D,4,False,9
D,5,False,8
D,6,False,8
D,7,False,9
D,8,False,9
D,9,False,9
D,10,False,9
D,11,False,9
D,12,False,1
D,13,False,8
D,14,False,9
D,15,False,9
A,1,False,9
A,2,False,1
A,3,False,9
A,4,False,9
A,5,True,8
A,6,False,9
A,7,False,1
A,8,False,9
A,9,False,9
A,10,False,1
A,11,False,9
A,12,False,9
A,13,True,8
A,14,True,8
A,15,True,8
C,1,False,9
C,2,True,8
C,3,False,9
C,4,False,9
C,5,False,1
C,6,False,9
C,7,True,8
C,8,False,9
C,9,False,9
C,10,True,8
C,11,False,9
C,12,False,9
C,13,True,8
C,14,True,8
C,15,False,1
B,1,False,9
B,2,False,8
B,3,False,9
B,4,False,9
B,5,False,1
B,6,False,9
B,7,False,8
B,8,False,9
B,9,False,9
B,10,False,8
B,11,False,9
B,12,False,9
B,13,False,8
B,14,False,8
B,15,False,1
D,1,False,9
D,2,False,1
D,3,False,9
D,4,False,9
D,5,False,8
D,6,False,9
D,7,False,1
D,8,False,9
D,9,False,9
D,10,False,1
D,11,False,9
D,12,False,9
D,13,False,8
D,14,False,8
D,15,False,8
A,1,True,8
A,2,True,8
A,3,False,1
A,4,False,1
A,5,True,8
A,6,False,9
A,7,False,1
A,8,True,8
A,9,False,1
A,10,True,8
A,11,False,1
A,12,False,1
A,13,True,8
A,14,False,9
A,15,False,9
C,1,False,1
C,2,False,1
C,3,True,8
C,4,True,8
C,5,False,1
C,6,False,9
C,7,True,8
C,8,True,8
C,9,True,8
C,10,True,8
C,11,True,8
C,12,True,8
C,13,False,1
C,14,False,9
C,15,False,9
B,1,False,1
B,2,False,1
B,3,False,8
B,4,False,8
B,5,False,1
B,6,False,9
B,7,False,8
B,8,False,8
B,9,False,8
B,10,False,8
B,11,False,8
B,12,False,8
B,13,False,1
B,14,False,9
B,15,False,9
D,1,False,8
D,2,False,8
D,3,False,1
D,4,False,1
D,5,False,8
D,6,False,9
D,7,False,1
D,8,False,8
D,9,False,1
D,10,False,8
D,11,False,1
D,12,False,1
D,13,False,8
D,14,False,9
D,15,False,9
A,1,False,1
A,2,False,9
A,3,False,9
A,4,False,1
A,5,False,9
A,6,False,9
A,7,True,8
A,8,False,9
A,9,False,9
A,10,False,9
A,11,True,8
A,12,False,9
A,13,False,1
A,14,False,9
A,15,False,1
C,1,True,8
C,2,False,9
C,3,False,9
C,4,True,8
C,5,False,9
C,6,False,9
C,7,False,1
C,8,False,9
C,9,False,9
C,10,False,9
C,11,True,8
C,12,False,9
C,13,True,8
C,14,False,9
C,15,True,8
B,1,False,8
B,2,False,9
B,3,False,9
B,4,False,8
B,5,False,9
B,6,False,9
B,7,False,1
B,8,False,9
B,9,False,9
B,10,False,9
B,11,False,8
B,12,False,9
B,13,False,8
B,14,False,9
B,15,False,8
D,1,False,1
D,2,False,9
D,3,False,9
D,4,False,1
D,5,False,9
D,6,False,9
D,7,False,8
D,8,False,9
D,9,False,9
D,10,False,9
D,11,False,8
D,12,False,9
D,13,False,1
D,14,False,9
D,15,False,1
A,1,False,9
A,2,False,9
A,3,False,1
A,4,False,9
A,5,True,8
A,6,False,1
A,7,False,9
A,8,True,8
A,9,False,9
A,10,False,1
A,11,False,9
A,12,False,9
A,13,True,8
A,14,True,8
A,15,False,9
C,1,False,9
C,2,False,9
C,3,True,8
C,4,False,9
C,5,True,8
C,6,True,8
C,7,False,9
C,8,False,1
C,9,False,9
C,10,True,8
C,11,False,9
C,12,False,9
C,13,True,8
C,14,False,1
C,15,False,9
B,1,False,9
B,2,False,9
B,3,False,8
B,4,False,9
B,5,False,8
B,6,False,8
B,7,False,9
B,8,False,1
B,9,False,9
B,10,False,8
B,11,False,9
B,12,False,9
B,13,False,8
B,14,False,1
B,15,False,9
D,1,False,9
D,2,False,9
D,3,False,1
D,4,False,9
D,5,False,8
D,6,False,1
D,7,False,9
D,8,False,8
D,9,False,9
D,10,False,1
D,11,False,9
D,12,False,9
D,13,False,8
D,14,False,8
D,15,False,9
